	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
FGBKPADF_00626	228.532136063936	-0.00771758289780618	0.167162289406825	-0.0461682053122868	0.963176183926005	NA
FGBKPADF_00627	1535.94098642597	0.103485486670246	0.084036269576456	1.23143836812146	0.218158954310019	0.758029269270818
FGBKPADF_00628	1296.15617166079	-0.0700634237371394	0.0806399288158848	-0.868842827194287	0.384933104544699	0.853855709025071
FGBKPADF_00629	1650.97250937174	-0.0558018860828375	0.0749186542170116	-0.744833001420449	0.456372681828309	0.873090630814704
FGBKPADF_00630	2646.09140913051	-0.0299131704264525	0.0671577966909294	-0.445416197379398	0.65601900900372	0.933093299604684
FGBKPADF_00631	2812.78412751783	0.0671809163065813	0.0767218838813501	0.875642162417129	0.381224596884457	0.8529160132116
FGBKPADF_00632	3630.61082668219	0.0802106209198921	0.0817691719580027	0.980939625524018	0.326622515213242	0.819100872941212
FGBKPADF_00633	4228.09179618012	0.0828652237603165	0.0511727235612784	1.61932408504869	0.105377551163355	0.603506464096447
FGBKPADF_00634	4027.99327263749	0.0251828175677391	0.0820627520683069	0.30687269111786	0.758940276139631	0.963488581734396
FGBKPADF_00635	3329.24528979158	0.0221405825467858	0.0523054347224897	0.423294112060329	0.672080689608634	0.939607466337405
FGBKPADF_00636	458.632141069761	-0.030948674864516	0.171641477843943	-0.180309999967808	0.856909205497716	0.979922198397551
FGBKPADF_00637	386.358973849213	0.0365633760534461	0.139907229532562	0.26134014786517	0.793830208495543	0.967452904685314
FGBKPADF_00638	21.3471216141062	0.13525823723776	0.44469701777967	0.304158183729434	0.761007381028558	NA
FGBKPADF_00639	31.0955766184071	0.283682390849718	0.367830016787401	0.771232302701606	0.440569250532698	NA
FGBKPADF_00640	47.197334363079	0.267641642457762	0.305435091438612	0.876263566170996	0.380886766830091	NA
FGBKPADF_00641	31.4480816440856	0.428942600109678	0.343382049133011	1.24917013336222	0.211602853351193	NA
FGBKPADF_00642	62.633990810795	0.075210934066581	0.27123426693802	0.277291416441005	0.781556349941046	NA
