Geneid	T0	T10
IABCJNHA_00444	5210	4294
IABCJNHA_00445	4107	4115
IABCJNHA_00446	8220	7978
IABCJNHA_00447	1621	1668
IABCJNHA_00448	6	3
IABCJNHA_00449	69	57
IABCJNHA_00450	497	360
IABCJNHA_00451	999	565
IABCJNHA_00452	5	62
IABCJNHA_00453	0	3
IABCJNHA_00454	10	8
IABCJNHA_00455	0	0
IABCJNHA_00456	58	16
IABCJNHA_00457	124	31
IABCJNHA_00458	178	64
IABCJNHA_00459	0	1
IABCJNHA_00460	0	0
IABCJNHA_00461	4	0
IABCJNHA_00462	5	4
IABCJNHA_00463	8	7
IABCJNHA_00464	25	29
IABCJNHA_00465	25	17
IABCJNHA_00466	17	13
IABCJNHA_00467	14	26
IABCJNHA_00468	4	10
IABCJNHA_00469	50	64
IABCJNHA_00470	20	10
IABCJNHA_00471	67	45
IABCJNHA_00472	82	55
IABCJNHA_00473	4	9
IABCJNHA_00474	10	6
IABCJNHA_00475	36	26
IABCJNHA_00476	29	8
IABCJNHA_00477	6	2
IABCJNHA_00478	8	8
IABCJNHA_00479	39	16
IABCJNHA_00480	23	10
IABCJNHA_00481	2	2
IABCJNHA_00482	168	74
IABCJNHA_00483	20	27
IABCJNHA_00484	8	8
IABCJNHA_00485	0	0
IABCJNHA_00486	605	433
IABCJNHA_00487	372	184
IABCJNHA_00488	420	167
IABCJNHA_00489	75	45
IABCJNHA_00490	89	21
IABCJNHA_00491	71	89
IABCJNHA_00492	0	6
IABCJNHA_00493	6	26
IABCJNHA_00494	245	135
IABCJNHA_00495	16	8
IABCJNHA_00496	85	80
IABCJNHA_00497	18	7
IABCJNHA_00498	38	26
IABCJNHA_00499	293	304
IABCJNHA_00500	53	69
IABCJNHA_00501	22	9
IABCJNHA_00502	39	21
IABCJNHA_00503	46	42
IABCJNHA_00504	10	10
IABCJNHA_00505	70	105
IABCJNHA_00506	62	67
IABCJNHA_00507	17	46
IABCJNHA_00508	12	31
IABCJNHA_00509	74	179
IABCJNHA_00510	46	90
IABCJNHA_00511	36	54
IABCJNHA_00512	4	3
IABCJNHA_00513	3	6
IABCJNHA_00514	0	4
IABCJNHA_00515	26	12
IABCJNHA_00516	68	0
IABCJNHA_00517	79	10
IABCJNHA_00518	2	1
IABCJNHA_00519	35	3
IABCJNHA_00520	44	43
IABCJNHA_00521	50	40
IABCJNHA_00522	0	0
IABCJNHA_00523	6	2
IABCJNHA_00524	2	2
IABCJNHA_00525	3	6
IABCJNHA_00526	32	16
IABCJNHA_00527	17	4
IABCJNHA_00528	14	4
IABCJNHA_00529	110	92
IABCJNHA_00530	10	6
IABCJNHA_00531	2307	80
IABCJNHA_00532	2685	69
IABCJNHA_00533	1411	33
IABCJNHA_00534	3760	91
IABCJNHA_00535	1258	19
IABCJNHA_00536	1988	86
IABCJNHA_00537	2125	68
IABCJNHA_00538	14	3
IABCJNHA_00539	3	1
IABCJNHA_00540	23	4
IABCJNHA_00541	2	2
IABCJNHA_00542	1412	299
IABCJNHA_00543	158	118
IABCJNHA_00544	344	148
IABCJNHA_00545	16	15
IABCJNHA_00546	13	4
IABCJNHA_00547	4	0
IABCJNHA_00548	3	0
IABCJNHA_00549	257	146
IABCJNHA_00550	2312	959
IABCJNHA_00551	38	56
IABCJNHA_00552	216	493
IABCJNHA_00553	349	269
IABCJNHA_00554	451	363
IABCJNHA_00555	416	2361
IABCJNHA_00556	791	3380
IABCJNHA_00557	110	381
IABCJNHA_00558	270	1087
IABCJNHA_00559	22	13
IABCJNHA_00560	35	8
IABCJNHA_00561	70	60
IABCJNHA_00562	447	336
IABCJNHA_00563	442	209
IABCJNHA_00564	142	94
IABCJNHA_00565	430	282
IABCJNHA_00566	193	64
IABCJNHA_00567	1221	442
IABCJNHA_00568	956	439
IABCJNHA_00569	1	12
IABCJNHA_00570	3	52
IABCJNHA_00571	5	69
IABCJNHA_00572	10	96
IABCJNHA_00573	7	51
IABCJNHA_00574	7	55
IABCJNHA_00575	15	55
IABCJNHA_00576	23	72
IABCJNHA_00577	389	223
IABCJNHA_00578	510	265
IABCJNHA_00579	147	75
IABCJNHA_00580	182	111
IABCJNHA_00581	378	240
IABCJNHA_00582	126	111
IABCJNHA_00583	40	52
IABCJNHA_00584	22	17
IABCJNHA_00585	77	42
IABCJNHA_00586	451	126
IABCJNHA_00587	626	186
IABCJNHA_00588	869	209
IABCJNHA_00589	2110	795
IABCJNHA_00590	1634	680
IABCJNHA_00591	118	116
IABCJNHA_00592	91	66
IABCJNHA_00593	77	64
IABCJNHA_00594	24378	18218
IABCJNHA_00595	378	76
IABCJNHA_00596	2736	993
IABCJNHA_00597	809	379
IABCJNHA_00598	900	405
IABCJNHA_00599	216	79
IABCJNHA_00600	2657	1010
IABCJNHA_00601	2166	1957
IABCJNHA_00602	954	1093
IABCJNHA_00603	48	37
IABCJNHA_00604	358	153
IABCJNHA_00605	321	196
IABCJNHA_00606	287	153
IABCJNHA_00607	6	12
IABCJNHA_00608	100	9
IABCJNHA_00609	268	68
IABCJNHA_00610	12	12
IABCJNHA_00611	2	8
IABCJNHA_00612	14	8
IABCJNHA_00613	6	1
IABCJNHA_00614	128	107
IABCJNHA_00615	440	297
IABCJNHA_00616	4	1
IABCJNHA_00617	0	0
IABCJNHA_00618	251	100
IABCJNHA_00619	1222	419
IABCJNHA_00620	111	31
IABCJNHA_00621	67	29
IABCJNHA_00622	32	14
IABCJNHA_00623	12	6
IABCJNHA_00624	54	41
IABCJNHA_00625	40	45
IABCJNHA_00626	12	3
IABCJNHA_00627	36	49
IABCJNHA_00628	68	36
IABCJNHA_00629	80	43
IABCJNHA_00630	139	75
IABCJNHA_00631	174	73
IABCJNHA_00632	179	101
IABCJNHA_00633	242	109
IABCJNHA_00634	268	134
IABCJNHA_00635	262	129
IABCJNHA_00636	13	16
IABCJNHA_00637	41	8
IABCJNHA_00638	0	0
IABCJNHA_00639	2	0
IABCJNHA_00640	0	1
IABCJNHA_00641	2	1
IABCJNHA_00642	2	3
IABCJNHA_00643	0	4
IABCJNHA_00644	6	0
IABCJNHA_00645	1	0
IABCJNHA_00646	8	5
IABCJNHA_00647	33	32
IABCJNHA_00648	7	8
IABCJNHA_00649	119	64
IABCJNHA_00650	232	236
IABCJNHA_00651	2769	2359
IABCJNHA_00652	303	664
IABCJNHA_00653	146	223
IABCJNHA_00654	226	283
IABCJNHA_00655	336	435
IABCJNHA_00656	378	606
IABCJNHA_00657	77	156
IABCJNHA_00658	258	356
IABCJNHA_00659	10	6
IABCJNHA_00660	41	18
IABCJNHA_00661	136	74
IABCJNHA_00662	81	31
IABCJNHA_00663	147	109
IABCJNHA_00664	458	192
IABCJNHA_00665	4	1
IABCJNHA_00666	22	6
IABCJNHA_00667	62	74
IABCJNHA_00668	31	73
IABCJNHA_00669	13	8
IABCJNHA_00670	58	25
IABCJNHA_00671	98	30
IABCJNHA_00672	67	22
IABCJNHA_00673	29	9
IABCJNHA_00674	34	9
IABCJNHA_00675	72	22
IABCJNHA_00676	102	22
IABCJNHA_00677	35	17
IABCJNHA_00678	1236	1115
IABCJNHA_00680	1	4
IABCJNHA_00681	8	14
IABCJNHA_00682	0	5
IABCJNHA_00683	14	8
IABCJNHA_00684	5	6
IABCJNHA_00685	164	122
IABCJNHA_00686	0	0
IABCJNHA_00687	2	0
IABCJNHA_00688	2	8
IABCJNHA_00689	397	541
IABCJNHA_00690	364	405
IABCJNHA_00691	12	6
IABCJNHA_00692	8	18
IABCJNHA_00693	11	6
IABCJNHA_00694	52	38
IABCJNHA_00695	2	0
IABCJNHA_00696	6	1
IABCJNHA_00697	14	1
IABCJNHA_00698	23	0
IABCJNHA_00699	12	6
IABCJNHA_00700	14	0
IABCJNHA_00701	22	0
IABCJNHA_00702	6	0
IABCJNHA_00703	16	2
IABCJNHA_00704	17	2
IABCJNHA_00705	16	0
IABCJNHA_00706	16	2
IABCJNHA_00707	2	0
IABCJNHA_00708	10	2
IABCJNHA_00709	11	4
