Geneid,MM227,MM228,MM229,MM230,MM231,MM232,MM233,MM234,MM235,MM236,MM237,MM238
FGBKPADF_03253,112.79,111.97,137.01,154.64,129.78,139.39,133.08,151.23,73.28,125.49,194.39,193.54
FGBKPADF_03254,140.2,146.86,144.84,150.22,148.0,114.39,107.91,69.24,107.9,89.88,116.06,121.35
FGBKPADF_03255,12482.79,16463.89,15543.59,13412.36,12311.77,14662.9,13310.84,11437.03,11734.71,15140.09,14695.53,13486.24
FGBKPADF_03256,3086.82,2658.11,1957.3,1151.69,2498.48,2584.1,1974.68,1350.14,3066.34,2257.96,1766.95,1024.52
FGBKPADF_03257,2637.23,2278.38,2060.39,2422.68,2599.42,2138.64,1881.17,2357.74,2445.5,2096.86,1945.38,2362.4
FGBKPADF_03258,2398.34,1970.05,2022.55,2435.93,2223.74,1901.52,1852.39,2519.9,2223.26,1833.16,1906.21,2081.3
FGBKPADF_03259,266.31,205.28,214.0,213.55,292.96,206.82,155.86,227.76,270.56,217.06,213.25,213.51
FGBKPADF_03260,466.04,362.69,352.31,319.59,487.25,374.24,332.11,391.74,522.6,294.22,324.96,348.68
FGBKPADF_03261,1394.98,1280.37,901.66,829.16,1227.99,1262.12,869.24,798.06,1212.69,1152.3,900.88,743.43
FGBKPADF_03262,65.79,55.99,43.06,54.49,30.36,41.67,46.76,52.84,46.7,49.18,53.68,67.58
FGBKPADF_03263,1449.81,1097.81,901.66,611.19,1605.19,1283.34,720.57,694.2,1436.54,1248.96,905.23,720.39
FGBKPADF_03264,9068.57,2817.95,1366.2,667.16,8284.75,2960.61,1888.36,880.05,9895.55,2539.46,1600.12,775.69
FGBKPADF_03265,10733.78,2413.88,1225.27,668.63,10348.35,2900.0,1648.57,965.69,12982.82,2337.66,1328.84,709.64
FGBKPADF_03266,14.1,7.3,2.61,0.0,31.12,3.79,4.8,1.82,31.4,3.39,1.45,1.54
FGBKPADF_03267,1864.94,1320.13,819.46,622.97,1939.89,1421.97,1064.68,736.11,2074.29,1181.97,890.73,617.48
FGBKPADF_03268,856.1,634.51,459.31,226.8,1015.48,637.12,505.96,286.06,1065.33,647.8,422.15,304.13
FGBKPADF_03269,2800.15,1905.14,1304.87,1033.87,3024.44,2042.43,1691.73,1182.51,3022.05,1962.04,1617.52,1205.77
FGBKPADF_03270,142.55,441.4,581.97,870.4,128.26,343.94,450.81,542.97,121.59,380.71,577.38,820.23
FGBKPADF_03271,12060.62,12678.76,12854.26,11670.09,11363.08,10003.05,8747.6,8228.39,9947.89,10532.61,10417.44,9623.15
FGBKPADF_03272,71.28,46.25,63.94,48.6,62.99,61.36,59.95,58.31,57.98,50.87,34.82,55.3
FGBKPADF_03273,292.94,34.08,31.32,19.15,264.88,25.76,25.18,18.22,233.52,37.31,17.41,12.29
FGBKPADF_03274,6538.64,2708.42,888.62,478.64,6462.5,2109.09,689.4,378.99,6535.3,2080.75,721.0,439.3
FGBKPADF_03275,815.37,758.65,510.2,559.65,741.5,612.12,545.53,482.84,723.91,595.23,487.43,622.09
FGBKPADF_03276,1534.4,1496.2,1227.88,1282.77,1642.38,1461.37,1276.89,1282.73,1557.33,1379.53,1117.03,1261.07
FGBKPADF_03277,1768.6,1509.99,1511.04,1406.48,1933.06,1691.67,1414.77,1392.05,1918.07,1697.49,1459.4,1344.02
FGBKPADF_03278,2045.87,1808.59,2219.58,1000.0,1938.37,1615.15,1758.87,763.44,1695.02,1717.0,1936.68,760.33
FGBKPADF_03279,1110.66,620.71,460.62,407.95,1208.26,512.88,270.96,231.4,977.56,690.19,433.76,433.16
FGBKPADF_03280,2945.84,2508.0,2200.01,1558.17,2898.45,2430.31,2351.16,1709.09,2902.07,2431.78,2067.24,1575.95
FGBKPADF_03281,432.36,326.18,313.17,298.97,381.75,372.73,182.24,262.38,415.5,345.94,326.41,374.79
FGBKPADF_03282,1734.92,1497.01,1083.04,1111.93,2052.97,1471.21,786.52,1189.8,1965.58,1435.49,969.06,1390.1
FGBKPADF_03283,4264.84,3536.84,2707.6,2546.39,4251.67,3103.04,2158.12,2288.5,4292.71,3099.92,2480.69,2519.07
FGBKPADF_03284,331.32,262.08,287.07,483.06,295.99,265.91,326.12,439.11,256.07,239.11,239.36,483.85
FGBKPADF_03285,289.02,198.79,185.29,306.33,336.22,245.45,191.83,413.61,380.88,226.39,217.6,390.15
FGBKPADF_03286,6201.84,3666.67,2159.56,1848.3,6243.16,3234.85,1686.93,1811.12,6532.08,2604.75,1901.86,1767.96
FGBKPADF_03287,4319.67,3299.11,2667.15,2886.6,4074.07,3150.76,2538.19,2878.84,4078.52,2981.21,2547.42,2801.7
FGBKPADF_03288,10523.86,9070.52,6797.06,4103.09,9151.48,7867.44,6906.0,4972.38,9538.83,7938.88,6676.1,3964.46
FGBKPADF_03289,15675.36,12828.87,9412.02,5536.08,15125.98,12115.17,9194.81,7144.27,15440.41,11931.64,8949.33,5670.98
FGBKPADF_03290,518.52,548.5,267.5,138.44,558.59,501.52,226.6,94.75,549.98,507.89,278.53,139.78
FGBKPADF_03291,1470.96,1489.71,1400.12,1338.73,1486.79,1474.24,1323.65,1149.72,1413.19,1504.17,1379.61,1436.18
FGBKPADF_03292,1233.63,752.16,592.41,594.99,1137.67,596.97,489.18,430.0,963.06,691.89,573.02,568.33
FGBKPADF_03293,347.77,1036.95,2209.14,1265.09,267.15,1409.85,2861.91,1685.4,615.2,1210.8,2267.44,1299.47
FGBKPADF_03294,209.13,999.63,2136.07,1291.6,159.38,1500.0,2858.32,1568.79,548.37,1347.31,2133.97,1273.36
FGBKPADF_03295,128.45,933.91,1534.53,852.72,62.99,1273.49,2244.45,1328.28,384.9,1087.86,1690.06,872.46
FGBKPADF_03296,124.54,1195.99,1846.39,1091.31,69.82,1603.03,2453.07,1572.43,463.82,1396.49,1843.83,986.12
FGBKPADF_03297,60.31,853.58,1242.23,740.79,40.98,1246.97,1620.99,907.38,262.51,1151.45,1449.24,746.5
FGBKPADF_03298,18008.69,19355.68,19768.76,13565.52,15670.91,18137.91,19776.82,10813.89,14913.78,19039.58,18786.49,12876.44
FGBKPADF_03299,91.64,80.33,91.34,97.2,75.9,104.55,116.3,87.46,97.43,77.16,98.65,69.12
FGBKPADF_03300,761.33,907.94,651.13,437.41,816.64,802.27,444.81,404.5,830.2,825.85,555.62,414.72
FGBKPADF_03301,120.62,117.65,100.47,63.33,144.2,146.21,148.67,89.28,155.41,113.62,95.75,95.23
FGBKPADF_03302,257.69,189.05,91.34,95.73,255.77,147.73,70.74,45.55,275.39,179.75,113.15,101.38
FGBKPADF_03303,1806.19,1010.18,904.27,662.74,1787.34,1139.4,937.59,557.55,1628.19,1045.46,802.23,714.25
FGBKPADF_03304,2417.92,2242.68,2449.24,2164.95,2054.49,2131.82,2178.51,1532.35,2037.25,2236.76,2384.94,1975.32
FGBKPADF_03305,7.05,5.68,3.91,2.95,11.38,9.09,2.4,3.64,7.25,10.17,2.9,6.14
FGBKPADF_03306,696.32,582.58,379.72,303.39,709.62,487.88,318.92,342.55,752.9,490.93,380.08,294.92
FGBKPADF_03307,897.61,610.16,425.39,384.39,1029.14,663.64,357.29,262.38,1087.07,612.18,367.03,394.76
FGBKPADF_03308,7.83,14.6,5.22,13.25,9.11,41.67,47.96,41.91,37.04,10.17,13.06,10.75
FGBKPADF_03309,1081.68,894.15,771.18,589.1,1265.18,994.7,715.78,530.22,1287.57,922.51,802.23,582.15
FGBKPADF_03310,1531.27,1162.72,842.95,564.06,1517.15,1106.06,766.13,639.54,1459.89,1102.27,681.83,477.7
FGBKPADF_03311,195.81,115.22,76.99,79.53,117.64,103.03,89.92,100.21,144.94,74.62,68.18,99.84
FGBKPADF_03312,235.76,125.77,28.71,38.29,118.4,100.0,79.13,89.28,126.42,73.77,73.99,21.5
FGBKPADF_03313,66.58,55.17,22.18,13.25,52.37,25.76,35.97,7.29,49.92,27.98,17.41,23.04
FGBKPADF_03314,170.75,73.84,33.93,16.2,161.66,61.36,33.57,27.33,177.15,74.62,26.11,18.43
FGBKPADF_03315,325.84,140.37,57.41,25.04,239.07,113.64,101.91,36.44,272.98,90.73,66.73,27.65
FGBKPADF_03316,149.6,196.36,112.22,76.58,160.9,209.09,158.26,98.39,129.64,162.8,110.25,67.58
FGBKPADF_03317,275.71,217.45,172.24,83.95,226.93,195.45,175.05,105.68,222.25,200.95,147.97,69.12
FGBKPADF_03318,112.79,93.31,63.94,35.35,102.46,99.24,86.33,51.02,95.02,83.94,60.93,24.58
FGBKPADF_03319,177.8,116.03,93.95,19.15,175.32,171.97,98.31,36.44,189.23,123.79,79.79,26.11
FGBKPADF_03320,201.3,144.43,90.04,44.18,208.71,163.64,136.68,78.35,198.89,116.16,107.35,75.26
FGBKPADF_03321,119.06,81.14,30.01,8.84,91.83,73.48,51.56,21.86,98.24,66.14,37.72,26.11
FGBKPADF_03322,65.79,76.27,27.4,16.2,45.54,47.73,49.16,7.29,50.73,38.16,43.52,30.72
FGBKPADF_03323,119.84,86.01,48.28,23.56,102.46,86.36,77.93,34.62,98.24,75.46,60.93,18.43
FGBKPADF_03324,331.32,276.68,151.36,73.64,219.34,241.67,257.78,198.6,308.41,183.99,192.94,110.59
FGBKPADF_03325,44.65,38.95,9.13,7.36,37.95,29.55,44.36,56.48,56.37,35.61,39.17,29.18
FGBKPADF_03326,32.11,18.66,7.83,11.78,19.73,13.64,16.79,3.64,33.82,7.63,5.8,4.61
FGBKPADF_03327,46.21,31.64,23.49,4.42,28.08,21.97,35.97,10.93,35.43,22.89,26.11,15.36
FGBKPADF_03328,99.47,64.91,30.01,13.25,86.52,59.09,58.75,27.33,111.93,64.44,43.52,23.04
FGBKPADF_03329,1720.04,592.31,369.28,138.44,2091.68,718.18,378.87,138.48,2080.73,507.04,274.18,145.92
FGBKPADF_03330,4008.72,890.09,521.95,238.59,4461.14,1010.61,603.08,245.98,4889.39,873.34,507.74,241.15
FGBKPADF_03331,1360.52,344.84,159.19,53.02,1188.52,334.09,185.84,61.95,1439.76,310.33,174.08,87.55
FGBKPADF_03332,142.55,52.74,28.71,7.36,98.66,69.7,23.98,9.11,168.29,61.9,23.21,16.9
FGBKPADF_03333,1476.44,1385.04,1276.16,1002.94,1627.2,1645.46,1266.1,914.67,1694.22,1404.12,1251.95,1052.17
FGBKPADF_03334,31.33,39.76,40.45,38.29,34.15,305.3,344.1,420.89,297.13,32.22,50.77,36.86
FGBKPADF_03335,10.97,10.55,13.05,20.62,10.63,137.88,171.45,178.56,139.31,12.72,15.96,9.22
FGBKPADF_03336,21.15,19.47,13.05,13.25,9.11,183.33,203.82,224.11,176.35,20.35,24.66,7.68
FGBKPADF_03337,266.31,306.7,377.11,418.26,327.87,409.09,407.65,484.67,304.38,331.53,470.02,368.64
FGBKPADF_03338,132.37,132.26,194.43,198.82,148.76,198.49,238.59,218.65,161.85,162.8,206.0,184.32
FGBKPADF_03339,702.58,681.57,660.26,936.67,585.91,705.3,925.6,1402.98,561.25,655.43,790.63,1027.6
FGBKPADF_03340,149.6,258.83,429.3,390.28,192.77,350.0,612.67,699.67,233.52,280.65,467.12,451.59
FGBKPADF_03341,4917.3,4400.16,6494.33,8110.45,5293.71,5382.58,6268.15,10338.33,5334.69,5044.15,6124.83,8555.62
FGBKPADF_03342,331.32,331.86,387.55,363.77,276.26,289.39,293.74,287.88,247.21,272.18,349.62,291.84
FGBKPADF_03343,2961.5,2958.32,3179.96,2952.87,2755.77,2552.28,2921.86,2744.01,2550.99,2659.01,3113.19,2575.9
FGBKPADF_03344,47.0,18.66,37.84,67.75,63.75,33.33,61.15,107.5,49.12,51.72,50.77,90.63
FGBKPADF_03345,2100.7,1597.62,1623.26,1696.61,1953.55,1732.58,1433.95,1585.19,2231.31,1642.38,1405.72,1746.45
FGBKPADF_03346,856.1,821.94,732.03,798.23,869.0,796.97,663.02,654.12,878.51,871.64,738.4,772.62
FGBKPADF_03347,60.31,55.17,53.5,76.58,59.96,64.39,61.15,81.99,45.09,57.66,72.53,99.84
FGBKPADF_03348,72.06,73.02,83.51,94.26,57.68,62.88,68.34,142.12,56.37,71.22,85.59,136.71
FGBKPADF_03349,2629.4,3403.78,8223.28,9008.83,2406.65,4238.64,8390.31,8802.34,2171.72,4757.56,8389.37,9099.37
FGBKPADF_03350,4496.69,6924.39,16438.73,19661.25,3938.98,8937.14,15947.34,19189.87,3630.81,10052.7,16606.1,18404.57
FGBKPADF_03351,3135.38,8728.92,18756.18,23491.88,2849.88,10207.59,19180.94,21522.1,2720.89,12080.02,20138.54,21742.34
FGBKPADF_03352,330.54,1677.14,2973.8,3013.25,326.35,1842.43,2915.87,2904.35,283.44,1946.78,3037.75,3379.24
FGBKPADF_03353,20.36,29.21,52.19,32.4,15.18,22.73,41.96,43.73,24.96,37.31,33.37,56.83
FGBKPADF_03354,2449.25,7469.65,11606.81,14698.07,2308.74,7617.44,11559.16,14399.69,2388.33,7974.49,11892.79,15086.77
FGBKPADF_03355,2766.47,5243.19,7454.71,10742.26,2808.89,5001.52,7561.83,9538.45,2699.96,5522.37,7727.85,10950.27
FGBKPADF_03356,16676.36,20716.38,24284.91,28717.2,14765.47,18624.27,22486.46,27472.92,14420.98,20268.19,23498.35,28642.13
FGBKPADF_03357,391.63,612.6,536.3,706.92,404.52,532.58,398.05,685.09,423.55,560.46,506.29,681.99
FGBKPADF_03358,21189.5,21041.75,22522.03,22958.74,18542.03,19704.58,22520.03,24993.11,19655.01,20042.65,22638.09,21960.45
FGBKPADF_03359,17731.41,16893.93,18602.2,18705.43,16347.13,16315.94,17914.84,18145.83,16810.11,16828.26,17953.79,17670.35
FGBKPADF_03360,5051.24,4757.17,5634.42,5210.6,5144.2,4853.8,4974.48,5227.47,5070.57,4918.66,5531.5,5165.63
FGBKPADF_03361,79.89,210.15,169.63,217.97,104.74,192.42,127.09,187.67,82.94,252.67,179.89,304.13
FGBKPADF_03362,374.4,449.51,374.5,419.73,425.01,469.7,310.53,320.68,463.82,488.39,320.6,403.97
FGBKPADF_03363,9076.4,9839.71,14549.28,14640.63,9196.26,9650.77,11912.85,12666.92,8025.79,10440.19,13851.23,14819.5
FGBKPADF_03364,10024.93,10354.13,12695.07,10854.19,8784.15,10651.53,13603.38,11883.43,8941.34,10866.68,13343.49,11240.58
FGBKPADF_03365,10850.48,12479.97,14674.55,13170.83,10179.87,13407.6,16044.46,15097.54,10719.31,13339.15,16160.74,13598.37
FGBKPADF_03366,6991.37,8915.54,9132.77,9525.76,6468.57,8853.8,10892.54,11652.03,6863.03,8783.39,10326.04,10096.25
FGBKPADF_03367,1016.67,1155.42,994.31,1154.64,1031.42,1338.64,1354.82,1621.63,1003.32,1599.14,1220.03,1528.34
FGBKPADF_03368,17.23,44.63,36.54,66.27,23.53,37.12,65.94,61.95,20.94,42.39,42.07,82.94
FGBKPADF_03369,63.44,81.95,103.08,79.53,56.16,79.55,79.13,83.81,78.91,111.92,82.69,127.49
FGBKPADF_03370,4905.55,2362.76,2177.83,2363.77,4808.74,2100.76,1849.99,2131.8,5088.29,1956.95,2225.37,2577.44
FGBKPADF_03371,17382.86,6980.38,5922.8,7113.4,16381.29,6327.28,5679.47,6364.43,17799.75,6128.62,6317.77,7939.68
